Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
55035,1.13433,0.0573439,0.370336,1.48503,-0.470675,-0.667941,0.123489,-0.103478,0.454789,-0.0661758,-0.94537,-0.131023,-1.18808,0.261698,-0.222742,-0.37417,0.0472234,-0.387889,-0.0127227,-0.151513,-0.119201,-0.279175,-0.112906,0.360301,0.685727,-0.342007,0.0092658,0.0235224,46.13,0
65495,1.23715,-0.172457,0.18166,-0.296753,-0.348963,-0.207834,-0.313745,0.156797,0.239605,-0.0202919,1.14986,0.0713976,-1.45749,0.741675,0.877539,0.326604,-0.30913,-0.158971,0.136629,-0.178442,-0.0703785,-0.256071,0.0418007,-0.276867,0.13087,0.997911,-0.0812788,-0.0166573,1.46,0
140397,-1.4037,2.90325,-0.260697,4.37857,-0.250123,0.316353,-0.319723,1.34302,-2.25528,1.59751,-1.06383,0.230789,0.751559,1.06567,0.230851,-0.192482,0.86279,-0.47161,1.08275,0.233261,-0.104436,-0.369153,0.359902,1.04014,-0.787798,-0.00115966,0.309241,0.226267,0.76,0
130684,2.08965,-1.85472,-1.00143,-1.52485,-1.40349,-0.30856,-1.22379,-0.0768066,-0.879705,1.52568,-1.49186,-1.45479,-0.487042,-0.345652,0.122167,-0.261769,0.370248,0.29409,-0.121617,-0.233638,-0.113075,-0.136084,0.170367,0.429518,-0.300483,-0.201903,-0.00688476,-0.022937,129.00,0
144428,0.0524093,0.875636,0.234905,-0.621038,0.495676,-1.03384,1.02953,-0.211865,-0.0702598,-0.418726,-1.01865,0.213356,0.270824,0.0569241,-0.418152,-0.060959,-0.475726,-0.728561,-0.0302197,-0.0159462,-0.266734,-0.579429,0.0517913,-0.111019,-0.461077,0.14661,0.248044,0.0965266,4.49,0
87195,-2.40955,-0.223785,0.967513,1.06744,2.11407,-0.798908,2.06257,-2.41164,0.516234,1.64368,-0.545844,-0.978354,-1.04196,-0.718701,0.316977,-1.48679,-0.251901,-0.496576,1.13604,-0.920426,0.168464,0.294417,0.308329,-0.00146621,1.30632,-0.281773,-0.815655,-0.903104,16.18,0
71785,1.15022,0.104224,0.324643,0.533518,-0.25395,-0.397194,-0.00863016,0.0184983,-0.251964,0.0968056,1.76223,0.972753,-0.161662,0.588132,0.481687,-0.0194218,-0.247792,-0.33983,-0.349319,-0.117076,0.0975556,0.28675,-0.0311347,0.261649,0.391307,0.396321,-0.0311847,-0.0003658,15.34,0
67378,1.20477,-0.0907948,0.369417,-0.177446,-0.515592,-0.539666,-0.204135,0.0858543,0.0945913,-0.0422369,1.71458,0.501584,-1.16489,0.726209,0.704156,0.107832,-0.0993568,-0.549819,0.0295429,-0.175599,-0.152829,-0.488542,0.16932,0.248762,0.00499477,0.850362,-0.0810663,-0.0101252,0.00,0
131660,-1.16391,1.21857,-1.59732,4.84178,2.91528,-0.00711835,1.14667,-0.224243,-2.53347,0.905248,0.99512,-0.922223,-0.134151,-2.46596,-0.250871,0.547881,2.32517,1.81881,1.52317,-0.277285,-0.0583447,0.438266,0.275187,-0.0263358,-0.152329,0.511683,-0.00644621,0.320312,29.51,0
49332,1.22525,0.341818,0.758731,0.735527,-0.64784,-1.27396,0.141774,-0.29785,-0.146805,-0.0962207,0.435818,1.09106,1.24809,0.0667804,0.880143,0.0991158,-0.287971,-0.842321,-0.326403,-0.0466035,-0.211151,-0.561738,0.190821,0.940712,0.181406,0.0582116,-0.0214773,0.0264703,0.89,0
123667,0.0336568,1.52764,0.648259,4.1364,1.30644,1.74096,0.503235,0.292151,-2.03193,1.74836,-0.260785,0.250073,0.960675,0.0323809,-0.975203,-0.330559,-0.0977329,0.566016,1.86435,0.383112,0.159239,0.812863,-0.25422,-0.0620744,-0.405506,0.47979,0.477504,0.260091,6.02,0
129984,-1.57517,1.38306,-0.378623,-1.37959,0.607252,-1.1301,1.52407,-0.204609,-0.205084,-0.890165,1.25292,0.976261,0.67847,-0.976718,-0.962738,0.790838,-0.393647,0.839211,-1.44629,-0.414825,0.260592,1.07037,-0.227182,0.0316937,0.299974,-0.40528,-0.331755,-0.124284,80.00,0
12417,-0.253001,0.550852,1.51776,0.789378,-0.553324,-0.426552,-0.0537263,-0.138561,1.7054,-0.402013,0.0391694,-3.06622,0.400788,1.38356,-0.179322,-1.06273,1.58246,0.0577107,2.00918,-0.00695877,-0.15358,-0.0483797,-0.0921542,0.41224,-0.458772,1.23483,-0.274281,0.0698757,12.80,0
16928,-1.61792,-0.782478,2.0176,-2.01035,-0.154127,-0.552193,0.161447,-0.0690643,2.5761,-2.27668,0.731332,-1.38102,2.73249,0.8224,0.0931307,-0.548719,0.550328,-0.00869704,-0.528828,-0.01435,0.106439,0.730094,0.102891,0.118093,0.232499,-0.0630256,-0.0262852,0.190787,144.00,0
48165,1.23,0.331263,-0.0622948,0.940327,0.231227,-0.445741,0.356194,-0.278147,-0.195362,-0.0463655,-0.881553,0.726063,1.67718,0.0441244,0.817391,0.22616,-0.816275,-0.0585317,-0.0777105,0.0587114,0.0133483,0.0781602,-0.255432,-0.412057,0.836647,-0.285013,0.0154494,0.0217075,42.81,0
140915,-1.17797,-0.579186,2.48084,-1.05735,-1.57565,-0.267116,0.208785,-0.0996482,-0.638334,-0.31804,-0.23819,0.0778323,0.733591,-1.17532,-0.972106,0.302127,0.992057,-1.86785,1.02708,0.111434,0.0130768,0.253177,-0.134795,0.929499,0.236657,-0.219346,0.105938,-0.00175171,200.00,0
39899,1.21307,0.356595,0.541999,1.10485,-0.3657,-0.876052,0.146384,-0.195098,-0.0129726,-0.0353891,-0.253713,0.471755,0.421339,0.265719,0.999724,0.214153,-0.503311,-0.380647,-0.293694,-0.0989894,-0.220927,-0.644216,0.0913609,0.358589,0.378573,-0.633118,0.0253485,0.0321025,11.99,0
147369,2.01453,-0.784694,-1.61396,-1.37139,-0.278323,-0.956863,-0.0242573,-0.25973,2.05165,-0.969652,-1.06572,0.559864,-0.500427,0.171745,0.187591,-1.13183,0.108955,-0.195751,1.03379,-0.109964,0.107657,0.535452,-0.0246802,0.732168,0.295452,-0.0739764,-0.0227806,-0.0492665,59.43,0
136974,-1.04238,0.464345,1.73983,-1.02992,-0.271306,0.34709,0.31267,0.163523,0.43259,-0.525634,0.268402,0.36626,-0.315919,-0.293226,-0.550137,1.04895,-1.26728,0.679029,-0.644352,-0.341319,0.123596,0.361983,-0.0507579,-0.397851,-0.423179,0.0496866,-0.229609,0.114372,59.90,0
66420,-1.08842,1.31041,-0.388656,0.0863857,2.41091,4.16386,-0.46356,-0.673183,-0.138651,0.372053,-0.622022,-0.000373379,-0.256152,0.112257,0.144521,-0.606807,-0.0362002,0.226222,1.4415,-0.140549,1.42211,-0.663125,0.0630621,0.985962,0.169484,-0.245968,0.242678,0.196608,4.99,0
166814,1.96609,-0.564456,-0.673489,0.22089,-0.535952,-0.435212,-0.467944,-0.019481,1.23604,0.013761,-1.57406,-0.408207,-0.864185,0.133923,0.690907,0.668771,-0.682676,-0.136714,0.217442,-0.149606,-0.293843,-0.893342,0.331097,-0.694632,-0.609375,0.272293,-0.0559091,-0.0450964,52.85,0
60988,-2.38672,2.13956,1.58786,0.632028,1.13969,2.49219,-0.345745,-4.43494,0.776417,2.20061,-0.0160557,0.637904,0.734843,-1.50359,-1.55862,0.511357,-1.33812,0.212202,-1.23381,-0.495662,3.79505,-0.555827,0.114628,-1.39184,0.0300677,-0.11028,-0.670744,-0.583913,2.23,0
40967,-2.0648,-0.244131,0.72742,0.208758,1.22867,0.504045,0.690663,0.0500123,0.094344,-0.0863811,-0.0962663,0.148796,-0.90208,0.0212876,-1.15601,0.0533542,-0.673419,-0.00322859,-0.138734,-0.839817,-0.177391,0.0411238,-0.080209,-1.02009,0.280836,-0.467999,-0.293263,0.341017,94.65,0
126909,-0.634611,-1.58004,-0.473788,-1.56093,-0.254902,-0.652003,1.33008,-0.673711,-0.158864,0.13709,-1.44216,-0.366913,0.530327,-1.06159,-2.38523,0.266374,0.186603,-1.53045,0.0455788,-0.0183312,0.619064,2.3644,0.509336,0.0395091,-0.938723,-0.121721,0.149338,0.0760599,288.29,0
75723,1.42476,-1.48436,-1.00725,-2.4491,0.763617,3.36653,-1.55425,0.789165,-1.88486,1.44983,-0.224342,-1.00445,0.563938,-0.243853,0.909409,0.0927574,-0.0638875,0.470221,0.0621329,-0.0516295,-0.263547,-0.689823,-0.00182055,0.972242,0.387547,-0.273983,0.0308368,0.0324697,84.00,0
121804,2.0003,-0.696822,-1.74679,-0.680925,1.72585,3.84596,-1.27017,1.02982,1.01841,0.0650755,-0.164179,0.309169,0.00267123,0.013186,0.961444,0.293022,-0.632835,-0.0271051,-0.483586,-0.128893,0.240382,0.800782,0.164338,0.76924,-0.176514,0.663758,-0.00325153,-0.0568097,0.76,0
153799,-0.457575,0.326608,1.04247,-0.774807,0.548144,0.656825,0.204067,0.296372,0.946956,-0.919213,-0.778921,0.603667,-0.613904,-0.280356,-1.73143,-0.160394,-0.665961,0.408361,1.03559,-0.23416,-0.268452,-0.546935,-0.1329,-1.21105,-0.540452,-1.00274,0.132945,0.166345,11.99,0
138595,-1.14716,1.02477,-0.10498,-3.12715,-0.155576,1.14221,-2.29597,-5.00805,0.649985,-4.00268,0.988858,1.53845,0.943391,-1.90938,0.715909,2.28945,0.22063,2.31046,-1.28817,1.31935,-2.46891,0.913449,-0.525576,-0.297513,1.56614,-0.193239,0.0518519,0.229643,100.00,0
81657,-2.15572,1.80511,0.149724,-0.61414,-1.17697,-0.892422,-0.576635,0.973941,-0.367226,-0.562447,-0.227034,0.63192,0.263977,0.846141,1.08348,0.058761,0.557498,-0.844523,-0.262448,-0.504742,0.255081,0.00371592,0.146938,0.464673,-0.323655,0.844538,-1.38284,-0.153149,7.68,0
77156,-0.958503,1.37999,-0.870863,-0.356582,2.24538,3.40394,-0.137425,1.273,-0.577026,0.23385,-0.404321,-0.134371,0.0205784,0.664307,1.19466,0.0851901,-0.536958,0.561956,0.740601,0.247131,0.0802392,0.148211,-0.137993,1.0013,0.0263903,-0.307463,0.271086,0.212653,11.41,0
168243,-4.18862,2.51385,-2.40793,0.0573646,5.78924,-4.34345,-7.87447,-3.8404,-1.49777,-2.11592,0.564304,2.14704,-0.403299,0.898267,-0.882515,0.352852,2.62252,0.959712,-0.286697,0.302307,-2.02675,0.128156,-9.89022,0.0078036,-0.66778,-0.344472,-0.497222,0.162186,15.00,0
121910,-0.840248,0.0986632,1.77081,-1.48474,0.207464,-0.64902,0.39536,-0.0797635,-1.63594,-0.226307,-0.570023,0.400946,1.35569,-0.326767,-0.234723,-1.47026,-0.0960746,0.372214,-0.728581,-0.235026,-0.781905,-1.9716,0.152124,1.09295,0.0411784,0.10254,-0.024865,0.0786014,25.90,0
89460,0.109826,1.00368,-0.523981,-0.162312,0.765892,-1.30155,0.99442,-0.248682,0.00228411,-0.78341,-0.525012,-0.226141,0.0324216,-0.845593,0.734186,-0.017816,0.465116,0.623756,-0.24617,0.0648267,0.274379,1.0237,-0.165923,-0.14891,-0.321682,-0.132173,0.386296,0.191986,14.60,0
33257,1.32672,-0.602821,-0.737049,-0.911349,-0.137445,-0.355026,-0.00509247,-0.21172,-1.38823,0.862979,0.188147,0.170031,0.441874,0.469359,0.000343533,-1.05102,-0.574717,1.54265,0.0629972,-0.280507,-0.389354,-0.828973,-0.227043,-0.795105,0.537814,1.11921,-0.107201,-0.013188,83.13,0
128821,0.104805,0.973862,-0.235573,-0.434308,0.640568,-1.03371,0.908918,-0.0623138,0.0581254,-0.816673,-0.393511,-0.435014,-0.989235,-0.802819,-0.124603,0.18467,0.638285,-0.339586,-0.464121,-0.0601194,-0.316617,-0.803104,0.16915,0.95849,-0.526899,0.092473,0.220096,0.0864285,3.28,0
58893,-1.42287,-0.585618,1.64032,0.490132,-0.0942977,1.25997,-1.10508,1.09486,-1.27529,0.00798848,0.00111454,0.206485,-0.0456274,0.256327,1.53849,-3.04424,1.71725,-0.255829,-1.98203,-0.352899,0.139824,0.700901,0.131551,-0.657977,-0.53166,-0.0854294,0.154955,-0.0476617,46.73,0
51736,-0.930994,1.35135,1.15057,1.24337,-0.196434,0.253548,0.231691,0.595755,-0.73852,-0.0685808,1.19629,1.30332,0.231712,0.41439,-0.57698,-0.990049,0.58778,-0.276317,0.933312,0.0217325,0.0875269,0.450599,-0.0667829,0.247159,-0.115474,-0.263574,0.179741,0.1252,18.29,0
112404,2.02472,-0.18651,-1.43698,0.0870393,0.136186,-0.578342,-0.045942,-0.0456886,0.698667,0.102228,0.816351,0.275302,-1.4391,0.958575,0.396736,-0.0773136,-0.64528,0.672709,0.0229336,-0.313227,0.309499,0.941645,0.0313289,0.690176,0.252739,-0.465188,-0.00611018,-0.0600915,1.00,0
65850,1.21346,-0.0943918,0.337812,-0.22927,-0.419964,-0.370348,-0.238511,0.0794179,0.0670921,-0.0502438,1.61017,0.706133,-0.523029,0.564091,0.745056,0.185238,-0.24738,-0.386679,0.00696217,-0.12391,-0.0371043,-0.115321,0.0694755,0.0764417,0.120673,0.974313,-0.0745167,-0.0110919,2.23,0
152028,0.187322,1.10706,-0.631466,-0.693985,1.30997,-0.463627,1.05105,-0.143298,-0.19415,-0.870841,-1.01806,0.340607,1.34814,-1.29914,-0.330797,0.449388,0.0767055,-0.170746,-0.0106903,0.120567,-0.366219,-0.844474,0.00948166,0.0145661,-0.29828,0.145319,0.229172,0.0810271,4.49,0
79972,1.33753,-0.384393,-1.69609,-0.623101,0.220716,-1.59619,0.963674,-0.722221,-1.75986,0.794297,-1.01141,-0.50641,0.102525,0.802091,0.0900074,-2.16917,0.210115,0.680569,-0.350636,-0.276945,-0.099491,0.0234216,-0.516553,-0.0223632,1.198,1.54146,-0.169747,-0.0214271,116.95,0
58795,1.355,-1.12112,0.794063,-1.37312,-1.73364,-0.678612,-1.05703,-0.102458,-2.14352,1.5368,1.5956,0.354309,1.24233,-0.325037,-0.0460737,-0.0846768,0.203593,0.252518,-0.0476177,-0.171513,-0.265813,-0.516826,0.140772,0.50222,0.0845188,-0.447643,0.0361039,0.031588,60.00,0
95474,2.02192,0.276394,-1.49523,0.987351,0.246031,-1.09632,0.0493716,-0.392601,1.97955,-1.07626,0.566799,-1.9291,2.31372,-0.428262,-1.20882,-0.0146245,1.9816,0.254547,-0.404084,-0.174493,-0.16563,0.134924,0.0436922,-0.119115,0.0803413,0.600075,-0.0590451,-0.0348469,6.99,0
34910,1.02141,-0.0846454,0.212404,1.25779,-0.0340275,0.337485,0.0156986,0.158156,0.108995,0.0272674,0.800068,0.89367,-0.561047,0.339711,-0.717908,-0.403944,-0.08021,-0.312887,0.027452,-0.0659428,-0.0377053,-0.0706432,-0.166699,-0.30821,0.639085,-0.314737,0.0209877,0.0126112,72.07,0
33874,1.14301,0.135514,0.781071,1.42016,-0.543191,-0.264829,-0.158811,0.0483011,0.224853,0.0484838,1.04346,1.30568,-0.0846403,0.0385501,-1.18977,-0.278273,-0.181127,0.0149367,0.174821,-0.15572,0.00390726,0.244966,-0.106881,0.560428,0.687503,-0.301425,0.036253,0.0133811,2.99,0
127324,-0.169695,-0.569477,0.694265,-2.51142,-0.898979,-0.610114,-0.425239,-0.170471,-1.89825,1.38079,0.654909,-0.177642,0.643504,-0.610326,-1.28487,-0.353696,0.0886755,0.475382,-0.105891,-0.490519,0.00202577,0.39915,0.10674,0.0610282,-0.535991,-0.312068,-0.311047,0.0868533,17.60,0
152076,-0.527311,1.36808,-0.249347,0.98708,0.619601,-0.90582,1.15401,-0.0425351,-0.394662,0.143138,-1.37433,-0.779608,-1.63999,0.84618,-0.160438,-1.11923,0.334194,-0.191681,0.765948,-0.0935681,0.104159,0.558603,-0.276322,-0.0329936,-0.0407991,-0.409742,0.0135032,-0.0558278,11.99,0
87870,-2.95073,2.613,-1.18388,-2.86177,-0.414014,-1.25568,0.0819226,1.26133,0.480272,0.121331,0.19124,1.19714,0.000574914,0.873762,-1.19853,0.80094,-0.710507,-0.221697,-0.583908,0.372058,-0.302759,-0.867855,0.0415243,-0.424964,0.309572,0.409677,0.474378,0.328608,1.00,0
50973,-0.287258,1.26851,0.862209,1.07298,-0.39917,-1.04488,0.354236,0.232034,-0.742494,-0.366035,-0.32319,0.272573,0.201331,0.611293,0.937442,-0.252796,0.0693978,-0.00968479,0.220061,-0.152862,0.193375,0.494794,-0.0323578,0.727271,-0.174615,-0.348484,-0.0400287,-0.015006,3.05,0
117715,-4.98783,2.00145,-3.03502,-2.47741,2.27554,3.42267,1.69435,-0.0323611,4.19974,6.34886,0.752276,-0.245811,-0.352595,-2.06145,0.666115,-0.771185,-1.2432,-1.34117,-0.642152,1.93831,-1.44852,-0.920446,-0.333296,0.678266,0.238409,-0.0500145,-0.254911,-0.208523,89.99,0
52279,-1.14187,0.987391,1.97028,-0.151076,0.0295452,0.824068,-0.120364,0.776004,-0.29267,-1.07332,-0.330012,1.14359,1.07547,-0.264124,-1.16846,0.838002,-1.02642,0.822756,0.0137645,-0.112049,0.0189205,0.0373362,-0.423121,-0.824402,0.609828,-0.439199,-0.0348578,-0.00902268,9.99,0
166921,1.19619,-2.87657,-0.349546,-0.657249,-2.19785,0.319922,-1.19865,0.190573,0.525473,0.690251,-0.0253137,-0.0855094,-0.56655,-0.160382,0.351249,-0.201685,-0.72697,2.42532,-0.711486,0.342353,0.106366,-0.179788,-0.102392,-0.46089,-0.991653,1.21263,-0.116852,0.0232547,469.90,0
124593,1.87909,0.0518947,-1.4574,1.99042,0.0881231,0.0171578,-0.614051,0.230729,1.68401,-1.18847,-1.07333,-0.710812,-1.60341,-3.31548,-0.847008,0.474104,2.3022,1.44142,-0.62199,-0.230936,0.0694025,0.608567,-0.0689941,0.36658,0.267019,-0.30825,0.0968582,0.0299159,22.00,0
52001,1.38135,-1.19005,0.79768,-1.53725,-1.39108,0.464037,-1.51113,0.278029,-1.88598,1.50575,1.66149,0.0368801,0.614174,-0.276193,0.628548,-0.552061,0.676691,-0.123661,-0.875042,-0.376039,0.0449248,0.600744,0.05178,-0.278384,0.170614,-0.0616842,0.0834978,0.00957071,5.60,0
77908,-0.889903,1.49001,0.927292,1.04167,-0.878599,-0.691138,0.659077,-0.657524,-0.902993,-0.465106,-0.114094,0.48873,0.462587,0.616061,0.877273,-0.33542,0.19404,-0.0572756,0.196642,-0.257983,0.994452,0.379915,0.127293,0.936043,-0.254752,-0.359044,0.131074,0.0904934,107.85,0
73359,-1.07189,0.596731,2.39734,1.72416,-1.2884,1.23932,-0.827135,0.885054,1.0166,-0.618835,-1.53514,0.43442,-0.542577,-0.766793,-1.01552,-1.1705,1.12984,-0.292804,0.952259,-0.220984,0.129091,0.742889,-0.0131657,0.123767,-0.321999,-0.142137,-0.111352,0.106516,36.75,0
139273,1.72573,-1.17405,-0.978938,0.467278,-0.248684,0.917218,-0.528238,0.137265,-0.482399,0.952146,-0.190693,1.06885,1.16554,-0.186121,-1.03188,-1.0981,-0.713515,1.44839,-0.390079,-0.188414,-0.630933,-1.61065,0.257182,-0.30969,-0.425576,-1.08299,0.0393073,-0.00186477,192.06,0
52170,0.981756,-0.494391,1.61327,1.52732,-1.28771,0.604286,-1.07038,0.43106,1.39742,-0.215942,-0.959946,-0.145035,-1.2128,-0.368342,0.548806,0.0255138,0.0430071,0.0568452,-0.803519,-0.144838,0.216438,0.767167,-0.10732,0.0872328,0.330906,-0.145564,0.0963094,0.0452429,57.52,0
70270,1.23354,-0.061847,0.0516212,0.472588,0.258516,0.647806,-0.148779,0.0913814,0.52753,-0.280091,-1.57588,0.442207,0.816178,-0.288851,0.151465,-0.0957519,-0.26749,-0.787546,0.378719,-0.017479,-0.341997,-0.798345,-0.0941483,-1.28097,0.463409,0.292318,-0.00107056,0.00496071,29.99,0
80761,-0.327679,0.102469,1.91259,-0.78553,-0.513171,0.0434527,0.0385999,0.253108,0.816913,-1.08077,-0.82035,0.444639,-0.122958,-0.692974,-0.759252,-0.203993,0.12191,-1.00977,-0.553741,-0.116681,-0.0937544,-0.0843381,0.119717,0.140342,-0.591094,0.752521,0.00987022,0.0355453,30.59,0
156562,2.27663,-1.40357,-1.51724,-1.73965,-0.962378,-0.81688,-0.876908,-0.21174,-1.6325,1.88233,0.215017,-1.02393,-0.708215,0.289703,-0.357302,-0.229424,0.0509828,0.843009,0.130613,-0.438561,0.0929564,0.612971,-0.0107176,-0.50612,0.0768725,0.0815881,-0.0301805,-0.0739081,40.00,0
130264,2.17544,-0.718703,-0.89674,-0.827476,-0.661427,-0.82634,-0.560493,-0.263215,-0.390684,0.726083,-0.228253,0.209557,1.17877,-0.446681,-0.129667,0.683875,0.367348,-1.80771,0.428269,0.0332662,0.226774,0.746936,0.224739,1.14286,-0.0615624,-0.218862,-0.0101657,-0.0444035,10.00,0
118816,1.96478,0.0811734,-1.34049,1.63858,0.393487,0.0402807,-0.127435,-0.0699413,1.0108,-0.486656,-1.26886,0.798727,0.976659,-1.82288,-1.34247,-0.280365,0.765393,0.362451,-0.192008,-0.128015,0.175184,0.993011,-0.153293,0.457604,0.57009,-0.267736,0.0612464,-0.0148833,15.88,0
6328,1.22859,0.349873,0.214844,1.3944,0.392647,0.354871,0.00379028,-0.0822466,1.53051,-0.513566,-0.222191,-1.89104,2.33592,1.31473,-0.845748,-0.54048,0.6527,-0.515703,-0.259586,-0.164781,-0.299937,-0.339789,-0.161999,-0.800891,0.77493,-0.300996,0.0167287,0.00233111,7.66,0
67746,-0.94523,1.31119,1.84463,0.800577,-0.297818,0.00785973,0.233882,0.520942,-0.900772,-0.72268,-0.251706,0.379501,0.614477,0.416616,1.55513,-0.198943,0.171969,-0.398221,0.154272,-0.0162213,-0.048414,-0.276564,-0.0493745,0.0543201,0.100519,-0.460314,-0.0165814,0.0267675,24.47,0
10983,1.20244,-0.067542,0.844649,0.342026,-0.844594,-0.820729,-0.401604,-0.211696,1.72359,-0.532945,0.649143,-2.33121,1.86446,1.46606,0.575918,0.488648,0.289049,0.153493,-0.409143,-0.0291612,-0.052124,0.0611759,-0.0367824,0.412692,0.201669,1.02832,-0.0933873,0.0100382,39.00,0
38295,-1.84164,0.595289,0.50105,-0.766245,-0.835497,-0.199319,1.0949,-3.44499,-0.485372,-0.952,-0.384131,-0.2195,-0.838211,0.48862,0.414171,0.544529,-0.429883,-0.913853,-0.329127,-0.0976682,-1.88388,-0.892471,-0.816009,0.451602,-0.622955,0.422175,0.00653451,-0.288658,421.49,0
88343,1.43381,-1.12156,-1.57549,0.679677,-0.435924,-1.05136,0.544423,-0.408704,0.756431,-0.168801,-0.796733,0.234091,-0.148661,0.48176,0.623623,-0.302605,-0.351349,0.00533321,-0.384579,0.383398,0.50738,0.953205,-0.324723,0.0509925,0.19001,-0.0505788,-0.0710845,-0.00406218,323.00,0
14442,-0.885598,0.49975,2.20784,-1.01959,0.213922,0.131303,0.105987,0.255981,0.943874,-1.15069,1.90678,-2.47147,0.777799,1.70048,-0.331789,0.67182,0.0359445,0.509627,-0.832782,-0.0982916,0.0421487,0.205735,-0.287046,-0.313946,0.142752,0.982378,-0.0723403,0.0297982,14.95,0
139788,-0.145446,-1.401,-0.209349,-1.67072,0.197774,-0.814358,-0.307358,0.10304,-0.48376,0.457429,-0.0448858,-0.939454,-1.46879,0.139412,-1.15018,1.32589,-0.270733,-0.432882,0.600572,0.251175,0.585314,1.26078,0.635048,-0.504631,-2.00602,-0.533751,0.303722,0.364323,112.00,0
53762,-1.0198,1.20103,1.16817,1.17702,0.524525,0.250382,1.72209,-0.0178249,-1.79679,0.128319,1.06417,0.0283941,-0.788294,0.655262,-0.859317,0.501842,-0.734538,-0.301121,-1.61284,-0.25137,0.139729,0.245843,-0.235637,-0.00499597,0.339462,-0.08549,-0.0449151,0.0288218,141.95,0
